Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,PO1,DCT,OMP,2.6409836867592915,0.026409836867592917,17.459824653399224,1.3934381008148193
bciiv_1,PO2,DCT,OMP,2.2129800755178524,0.022129800755178522,18.567085535020553,1.3934381008148193
bciiv_1,O1,DCT,OMP,1.1844947417200773,0.011844947417200774,20.24810726248489,1.3934381008148193
bciiv_1,O2,DCT,OMP,0.46513189562902657,0.0046513189562902655,24.161446825309604,1.3934381008148193
bciiv_1,AF3,DCT,OMP,2.2676061566560497,0.022676061566560497,16.52426626346358,1.4431321620941162
bciiv_1,AF4,DCT,OMP,2.3859149088823335,0.023859149088823334,16.192494929625255,1.4431321620941162
bciiv_1,F5,DCT,OMP,2.0220592342099803,0.020220592342099802,16.96338779773977,1.4431321620941162
bciiv_1,F3,DCT,OMP,2.4187131557522026,0.024187131557522026,16.243615370638338,1.4431321620941162
bciiv_1,F1,DCT,OMP,1.8726270175292616,0.018726270175292617,17.244745327516128,1.4431321620941162
bciiv_1,Fz,DCT,OMP,2.0988590459110226,0.020988590459110223,16.77888391560387,1.4431321620941162
bciiv_1,F2,DCT,OMP,2.500632046148446,0.02500632046148446,16.256691821256595,1.4431321620941162
bciiv_1,F4,DCT,OMP,1.875431770922576,0.01875431770922576,17.275547161229625,1.4431321620941162
bciiv_1,F6,DCT,OMP,1.8173587356282341,0.018173587356282342,17.648116632807973,1.4431321620941162
bciiv_1,FC5,DCT,OMP,1.965176697238966,0.01965176697238966,17.517059399209558,1.4431321620941162
bciiv_1,FC3,DCT,OMP,2.0761090557534603,0.020761090557534605,17.061633106851126,1.4431321620941162
bciiv_1,FC1,DCT,OMP,2.2063124505224634,0.022063124505224633,16.62551853844381,1.4431321620941162
bciiv_1,FCz,DCT,OMP,2.349891114304017,0.02349891114304017,16.364076187126535,1.4431321620941162
bciiv_1,FC2,DCT,OMP,2.2771900961890204,0.022771900961890204,16.58924283486267,1.4431321620941162
