Dataset,Channel,Sensing Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,F1,Gaussian,OMP,17.495655129546282,0.17495655129546284,11.76348620023199,1.9242358207702637
bciiv_1,Fz,Gaussian,OMP,8.359228225464928,0.08359228225464929,12.98349978221857,1.9242358207702637
bciiv_1,F2,Gaussian,OMP,9.906006630981217,0.09906006630981218,15.690179627239058,1.9242358207702637
bciiv_1,F4,Gaussian,OMP,2.6489307194437983,0.026489307194437983,16.302191962659062,1.9242358207702637
bciiv_1,F6,Gaussian,OMP,5.697905437310215,0.05697905437310215,14.209898736677754,1.9242358207702637
bciiv_1,FC5,Gaussian,OMP,10.229457692610247,0.10229457692610247,15.14515233510668,1.9242358207702637
bciiv_1,FC3,Gaussian,OMP,7.955345264309517,0.07955345264309517,14.809345024898583,1.9242358207702637
bciiv_1,FC1,Gaussian,OMP,32.45248223635606,0.3245248223635606,13.414873098521877,1.9242358207702637
bciiv_1,FCz,Gaussian,OMP,8.137812689186546,0.08137812689186547,11.375196656876934,1.9242358207702637
bciiv_1,FC2,Gaussian,OMP,11.878330043200767,0.11878330043200767,12.225633016770503,1.9242358207702637
bciiv_1,FC4,Gaussian,OMP,6.740625285577176,0.06740625285577176,14.764679691851946,1.9242358207702637
bciiv_1,FC6,Gaussian,OMP,4.4372158633355,0.044372158633355,14.524631028855346,1.9242358207702637
bciiv_1,CFC7,Gaussian,OMP,12.949623647405591,0.12949623647405592,14.522188236796476,1.9242358207702637
bciiv_1,CFC5,Gaussian,OMP,2.8192842613602087,0.028192842613602085,17.70537388713945,1.9242358207702637
bciiv_1,CFC3,Gaussian,OMP,11.112319935085644,0.11112319935085643,15.557298548044233,1.9242358207702637
bciiv_1,CFC1,Gaussian,OMP,23.543917936433363,0.23543917936433362,11.891206070369446,1.9242358207702637
bciiv_1,CFC2,Gaussian,OMP,16.031140551644167,0.16031140551644169,16.66589002345431,1.9242358207702637
bciiv_1,CFC4,Gaussian,OMP,30.179887955808525,0.30179887955808526,11.530610638225324,1.9242358207702637
bciiv_1,CFC6,Gaussian,OMP,3.286572764385621,0.03286572764385621,14.924203585910291,1.9242358207702637
bciiv_1,CFC8,Gaussian,OMP,4.204202626240556,0.04204202626240556,15.284129947714128,1.9242358207702637
bciiv_1,T7,Gaussian,OMP,3.148512647237233,0.03148512647237233,16.854757603974985,1.9242358207702637
bciiv_1,C5,Gaussian,OMP,9.132285996363304,0.09132285996363304,15.014771043021181,1.9242358207702637
bciiv_1,C3,Gaussian,OMP,21.430438073694415,0.21430438073694416,13.498993260226122,1.9242358207702637
bciiv_1,C1,Gaussian,OMP,18.750547247594483,0.18750547247594482,14.040391116986585,1.9242358207702637
bciiv_1,Cz,Gaussian,OMP,16.878780035258586,0.16878780035258587,10.955570860166999,1.9242358207702637
bciiv_1,C2,Gaussian,OMP,20.7485456452333,0.207485456452333,13.914818440673717,1.9242358207702637
bciiv_1,C4,Gaussian,OMP,17.621892010656488,0.17621892010656487,12.966856612574077,1.9242358207702637
bciiv_1,C6,Gaussian,OMP,4.402185203667877,0.044021852036678764,15.983529924756892,1.9242358207702637
bciiv_1,T8,Gaussian,OMP,2.4462164173920833,0.024462164173920834,17.637062005558086,1.9242358207702637
bciiv_1,CCP7,Gaussian,OMP,7.793610660761472,0.07793610660761473,14.648587926088151,1.9242358207702637
bciiv_1,CCP5,Gaussian,OMP,35.43116240475588,0.35431162404755884,12.6136770505321,1.9242358207702637
bciiv_1,CCP3,Gaussian,OMP,23.828626265042583,0.23828626265042582,14.648139118161083,1.9242358207702637
bciiv_1,CCP1,Gaussian,OMP,13.92953246209489,0.1392953246209489,11.769664477879509,1.9242358207702637
bciiv_1,CCP2,Gaussian,OMP,21.086534468084174,0.21086534468084175,13.235245395127729,1.9242358207702637
bciiv_1,CCP4,Gaussian,OMP,3.58301348222909,0.0358301348222909,15.056002897744174,1.9242358207702637
bciiv_1,CCP6,Gaussian,OMP,2.3916282473433617,0.023916282473433616,16.262358122230705,1.9242358207702637
bciiv_1,CCP8,Gaussian,OMP,1.9691961313257116,0.019691961313257116,18.556779075677888,1.9242358207702637
bciiv_1,CP5,Gaussian,OMP,32.12646286469057,0.32126462864690575,11.150583275069966,1.9242358207702637
bciiv_1,CP3,Gaussian,OMP,15.758133066271885,0.15758133066271884,10.97535592013493,1.9242358207702637
bciiv_1,CP1,Gaussian,OMP,20.72306367371445,0.20723063673714448,14.749694035800655,1.9242358207702637
bciiv_1,CPz,Gaussian,OMP,15.887485697869197,0.15887485697869197,11.64924633169031,1.9242358207702637
bciiv_1,CP2,Gaussian,OMP,11.857862378993445,0.11857862378993446,13.091786301045925,1.9242358207702637
bciiv_1,CP4,Gaussian,OMP,6.6819161929776065,0.06681916192977606,13.900320315995474,1.9242358207702637
bciiv_1,CP6,Gaussian,OMP,2.733145562303615,0.02733145562303615,15.805660941715695,1.9242358207702637
bciiv_1,P5,Gaussian,OMP,30.668759996104527,0.3066875999610453,8.981068607270778,1.9242358207702637
bciiv_1,P3,Gaussian,OMP,24.44611063537347,0.2444611063537347,7.5762330420014266,1.9242358207702637
bciiv_1,P1,Gaussian,OMP,18.72231067807934,0.1872231067807934,12.300772487546375,1.9242358207702637
bciiv_1,Pz,Gaussian,OMP,14.168120570699525,0.14168120570699524,9.333461182769986,1.9242358207702637
bciiv_1,P2,Gaussian,OMP,17.36185774571269,0.17361857745712692,12.097535445251562,1.9242358207702637
bciiv_1,P4,Gaussian,OMP,9.949095794094536,0.09949095794094535,11.267370222251742,1.9242358207702637
bciiv_1,P6,Gaussian,OMP,2.26066164906658,0.0226066164906658,16.576868866955525,1.9242358207702637
bciiv_1,PO1,Gaussian,OMP,15.679673893874888,0.15679673893874888,8.171673568514809,1.9242358207702637
bciiv_1,PO2,Gaussian,OMP,16.504782051518752,0.16504782051518752,12.361925703377592,1.9242358207702637
bciiv_1,O1,Gaussian,OMP,12.961772363864767,0.12961772363864768,13.193341401384423,1.9242358207702637
bciiv_1,O2,Gaussian,OMP,3.2648598021852133,0.03264859802185213,15.507085837645903,1.9242358207702637
bciiv_1,AF3,Gaussian,OMP,50.43308738670399,0.5043308738670399,3.948573207415209,2.2725837230682373
bciiv_1,AF4,Gaussian,OMP,71.20862835300696,0.7120862835300696,2.5421636847104527,2.2725837230682373
bciiv_1,F5,Gaussian,OMP,43.94419362426844,0.4394419362426844,4.769492488711419,2.2725837230682373
bciiv_1,F3,Gaussian,OMP,43.13950013094394,0.43139500130943936,4.509349486814004,2.2725837230682373
bciiv_1,F1,Gaussian,OMP,34.09758671470966,0.34097586714709655,5.556744002700632,2.2725837230682373
bciiv_1,Fz,Gaussian,OMP,33.44146388270251,0.3344146388270251,5.156343431372251,2.2725837230682373
bciiv_1,F2,Gaussian,OMP,74.61957014390937,0.7461957014390938,2.401041168534289,2.2725837230682373
bciiv_1,F4,Gaussian,OMP,49.52645673421614,0.4952645673421614,3.958625814374897,2.2725837230682373
bciiv_1,F6,Gaussian,OMP,42.79439074375427,0.42794390743754274,4.416394613750487,2.2725837230682373
bciiv_1,FC5,Gaussian,OMP,35.1118991955576,0.351118991955576,5.933583465784373,2.2725837230682373
bciiv_1,FC3,Gaussian,OMP,43.01428216053726,0.43014282160537265,4.599406924765215,2.2725837230682373
bciiv_1,FC1,Gaussian,OMP,32.27442273631675,0.3227442273631675,5.67436748767782,2.2725837230682373
bciiv_1,FCz,Gaussian,OMP,36.22789779287888,0.36227897792878877,4.699753775383154,2.2725837230682373
bciiv_1,FC2,Gaussian,OMP,39.46705207896703,0.3946705207896703,5.114781313698883,2.2725837230682373
bciiv_1,FC4,Gaussian,OMP,27.146925567558345,0.27146925567558344,6.369230165931339,2.2725837230682373
bciiv_1,FC6,Gaussian,OMP,16.818619865003335,0.16818619865003334,7.7676441532725065,2.2725837230682373
bciiv_1,CFC7,Gaussian,OMP,21.77763671033192,0.21777636710331919,7.782455129972167,2.2725837230682373
bciiv_1,CFC5,Gaussian,OMP,25.79590031073618,0.2579590031073618,6.618336230595265,2.2725837230682373
bciiv_1,CFC3,Gaussian,OMP,38.851691239366964,0.38851691239366964,5.09320392568574,2.2725837230682373
bciiv_1,CFC1,Gaussian,OMP,16.454702697242574,0.16454702697242574,8.460430194880303,2.2725837230682373
bciiv_1,CFC2,Gaussian,OMP,28.136787529508762,0.2813678752950876,6.400809811082896,2.2725837230682373
bciiv_1,CFC4,Gaussian,OMP,42.061296783825064,0.42061296783825064,4.188812435348025,2.2725837230682373
bciiv_1,CFC6,Gaussian,OMP,32.919222429360175,0.3291922242936018,5.308689635406504,2.2725837230682373
bciiv_1,CFC8,Gaussian,OMP,18.957730084662938,0.18957730084662938,7.472450538857264,2.2725837230682373
bciiv_1,T7,Gaussian,OMP,31.6737754355354,0.316737754355354,6.390457651101493,2.2725837230682373
bciiv_1,C5,Gaussian,OMP,25.942498241007456,0.25942498241007456,6.792945518468338,2.2725837230682373
bciiv_1,C3,Gaussian,OMP,25.551531234126646,0.25551531234126645,6.989474549477766,2.2725837230682373
bciiv_1,C1,Gaussian,OMP,17.836992444816456,0.17836992444816455,8.052488435787092,2.2725837230682373
bciiv_1,Cz,Gaussian,OMP,28.85352094706804,0.2885352094706804,6.2650511811561795,2.2725837230682373
bciiv_1,C2,Gaussian,OMP,39.326140918207706,0.393261409182077,5.452195469953455,2.2725837230682373
bciiv_1,C4,Gaussian,OMP,28.103697938284906,0.28103697938284905,6.534228766447175,2.2725837230682373
bciiv_1,C6,Gaussian,OMP,21.89427472083222,0.2189427472083222,7.631100452763457,2.2725837230682373
bciiv_1,T8,Gaussian,OMP,25.458476681811238,0.2545847668181124,7.0022292830692745,2.2725837230682373
bciiv_1,CCP7,Gaussian,OMP,19.887068602961342,0.1988706860296134,8.228531463865686,2.2725837230682373
bciiv_1,CCP5,Gaussian,OMP,25.72706525355254,0.2572706525355254,6.191545292352613,2.2725837230682373
bciiv_1,CCP3,Gaussian,OMP,24.604721619249258,0.2460472161924926,6.837109330248222,2.2725837230682373
bciiv_1,CCP1,Gaussian,OMP,30.316135475033157,0.30316135475033157,6.57644463648145,2.2725837230682373
bciiv_1,CCP2,Gaussian,OMP,44.55559359469213,0.4455559359469213,4.221827735608602,2.2725837230682373
bciiv_1,CCP4,Gaussian,OMP,29.499056826724924,0.29499056826724923,6.621088915515241,2.2725837230682373
bciiv_1,CCP6,Gaussian,OMP,19.500977052788468,0.19500977052788468,7.5733751573879715,2.2725837230682373
bciiv_1,CCP8,Gaussian,OMP,27.870743549792955,0.27870743549792953,6.0590995885745915,2.2725837230682373
bciiv_1,CP5,Gaussian,OMP,16.505538739560237,0.16505538739560235,8.086041444019346,2.2725837230682373
bciiv_1,CP3,Gaussian,OMP,23.68476566381444,0.2368476566381444,7.1275723150305215,2.2725837230682373
bciiv_1,CP1,Gaussian,OMP,23.385634398676597,0.23385634398676597,7.341324896700248,2.2725837230682373
bciiv_1,CPz,Gaussian,OMP,32.560063051390195,0.325600630513902,5.869491299663276,2.2725837230682373
bciiv_1,CP2,Gaussian,OMP,33.756985467537305,0.33756985467537304,6.20457683065969,2.2725837230682373
bciiv_1,CP4,Gaussian,OMP,37.34536950346949,0.37345369503469494,5.620182729604023,2.2725837230682373
bciiv_1,CP6,Gaussian,OMP,23.54489013738765,0.2354489013738765,7.50638360729506,2.2725837230682373
bciiv_1,P5,Gaussian,OMP,27.789690147651253,0.2778969014765125,7.143782856512076,2.2725837230682373
bciiv_1,P3,Gaussian,OMP,25.039246302528795,0.25039246302528795,7.570951866292653,2.2725837230682373
bciiv_1,P1,Gaussian,OMP,7.899745583937641,0.07899745583937641,11.970279933239176,2.2725837230682373
bciiv_1,Pz,Gaussian,OMP,36.7739839092305,0.367739839092305,5.575121816214342,2.2725837230682373
bciiv_1,P2,Gaussian,OMP,10.95301665995992,0.10953016659959919,10.840977843386632,2.2725837230682373
bciiv_1,P4,Gaussian,OMP,23.945575334699214,0.23945575334699212,6.970247798650561,2.2725837230682373
bciiv_1,P6,Gaussian,OMP,18.900255155364036,0.18900255155364035,7.708370455725412,2.2725837230682373
bciiv_1,PO1,Gaussian,OMP,25.447648497759456,0.25447648497759456,7.403325652380505,2.2725837230682373
bciiv_1,PO2,Gaussian,OMP,19.415683554705343,0.19415683554705343,8.080380059726252,2.2725837230682373
bciiv_1,O1,Gaussian,OMP,23.865747274469438,0.23865747274469437,6.942729589814515,2.2725837230682373
bciiv_1,O2,Gaussian,OMP,23.877932534952677,0.23877932534952678,7.246339870177398,2.2725837230682373
bciiv_1,AF3,Gaussian,OMP,26.0331017167087,0.260331017167087,22.70908106889553,1.9986867904663086
bciiv_1,AF4,Gaussian,OMP,29.906081121115864,0.29906081121115863,17.90837093536676,1.9986867904663086
bciiv_1,F5,Gaussian,OMP,27.68430208694167,0.2768430208694167,23.480460085840335,1.9986867904663086
bciiv_1,F3,Gaussian,OMP,33.514063165495664,0.33514063165495667,22.76127461561538,1.9986867904663086
bciiv_1,F1,Gaussian,OMP,37.648534873429696,0.37648534873429695,18.784918154341025,1.9986867904663086
bciiv_1,Fz,Gaussian,OMP,28.456956736056462,0.2845695673605646,19.820515890202962,1.9986867904663086
bciiv_1,F2,Gaussian,OMP,34.12627582608771,0.34126275826087715,19.93565826688241,1.9986867904663086
bciiv_1,F4,Gaussian,OMP,22.91044078233197,0.22910440782331973,19.093606551977565,1.9986867904663086
bciiv_1,F6,Gaussian,OMP,23.789885041797827,0.23789885041797829,21.177385548912547,1.9986867904663086
bciiv_1,FC5,Gaussian,OMP,33.17974662519724,0.3317974662519724,25.535320824819657,1.9986867904663086
bciiv_1,FC3,Gaussian,OMP,37.757092304322555,0.37757092304322554,21.952836438706807,1.9986867904663086
bciiv_1,FC1,Gaussian,OMP,38.65174953463818,0.3865174953463818,20.147019995242502,1.9986867904663086
bciiv_1,FCz,Gaussian,OMP,32.030020904366864,0.3203002090436686,19.453386075822863,1.9986867904663086
bciiv_1,FC2,Gaussian,OMP,30.53578614472433,0.3053578614472433,21.176444522297828,1.9986867904663086
bciiv_1,FC4,Gaussian,OMP,29.094022662596686,0.29094022662596686,22.191152142309022,1.9986867904663086
bciiv_1,FC6,Gaussian,OMP,14.93698292826647,0.1493698292826647,18.669802132164104,1.9986867904663086
bciiv_1,CFC7,Gaussian,OMP,51.021359492015414,0.5102135949201542,21.644133061911162,1.9986867904663086
bciiv_1,CFC5,Gaussian,OMP,30.42469703961977,0.3042469703961977,24.722135512715333,1.9986867904663086
bciiv_1,CFC3,Gaussian,OMP,35.98389431487893,0.35983894314878934,19.90602436579081,1.9986867904663086
bciiv_1,CFC1,Gaussian,OMP,22.98062172843968,0.2298062172843968,17.210874503778406,1.9986867904663086
bciiv_1,CFC2,Gaussian,OMP,25.945075307781607,0.25945075307781607,19.916849459317895,1.9986867904663086
bciiv_1,CFC4,Gaussian,OMP,20.13984294552103,0.20139842945521028,24.570361219588293,1.9986867904663086
bciiv_1,CFC6,Gaussian,OMP,26.267855087087042,0.26267855087087044,21.637056937959937,1.9986867904663086
